* windrichting
"1990/01/01;00:00:00" 86 < 
"2005/04/16;00:00:00" 355 < 
"2005/04/17;00:00:00" 54 < 
"2005/04/18;00:00:00" 221 < 
"2005/04/19;00:00:00" 31 < 
"2005/04/20;00:00:00" 65 < 
"2005/04/21;00:00:00" 11 < 
"2005/04/22;00:00:00" 30 < 
"2005/04/23;00:00:00" 82 < 
"2005/04/24;00:00:00" 85 < 
"2005/04/25;00:00:00" 66 < 
"2005/04/26;00:00:00" 148 < 
"2005/04/27;00:00:00" 257 < 
"2005/04/28;00:00:00" 196 < 
"2005/04/29;00:00:00" 220 < 
"2005/04/30;00:00:00" 174 < 
"2005/05/01;00:00:00" 129 < 
"2005/05/02;00:00:00" 246 < 
"2005/05/03;00:00:00" 275 < 
"2005/05/04;00:00:00" 294 < 
"2005/05/05;00:00:00" 278 < 
"2005/05/06;00:00:00" 269 < 
"2005/05/07;00:00:00" 271 < 
"2005/05/08;00:00:00" 257 < 
"2005/05/09;00:00:00" 271 < 
"2005/05/10;00:00:00" 283 < 
"2005/05/11;00:00:00" 323 < 
"2005/05/12;00:00:00" 51 < 
"2005/05/13;00:00:00" 62 < 
"2005/05/14;00:00:00" 12 < 
"2005/05/15;00:00:00" 291 < 
"2005/05/16;00:00:00" 301 < 
"2005/05/17;00:00:00" 334 < 
"2005/05/18;00:00:00" 308 < 
"2005/05/19;00:00:00" 175 < 
"2005/05/20;00:00:00" 191 < 
"2005/05/21;00:00:00" 215 < 
"2005/05/22;00:00:00" 205 < 
"2005/05/23;00:00:00" 229 < 
"2005/05/24;00:00:00" 202 < 
"2005/05/25;00:00:00" 221 < 
"2005/05/26;00:00:00" 195 < 
"2005/05/27;00:00:00" 122 < 
"2005/05/28;00:00:00" 244 < 
"2005/05/29;00:00:00" 349 < 
"2005/05/30;00:00:00" 341 < 
"2005/05/31;00:00:00" 262 < 
"2005/06/01;00:00:00" 213 < 
"2005/06/02;00:00:00" 216 < 
"2005/06/03;00:00:00" 191 < 
"2005/06/04;00:00:00" 232 < 
"2005/06/05;00:00:00" 262 < 
"2005/06/06;00:00:00" 326 < 
"2005/06/07;00:00:00" 324 < 
"2005/06/08;00:00:00" 6 < 
"2005/06/09;00:00:00" 355 < 
"2005/06/10;00:00:00" 324 < 
"2005/06/11;00:00:00" 291 < 
"2005/06/12;00:00:00" 228 < 
"2005/06/13;00:00:00" 242 < 
"2005/06/14;00:00:00" 208 < 
"2005/06/15;00:00:00" 201 < 
"2005/06/16;00:00:00" 227 < 
"2005/06/17;00:00:00" 270 < 
"2005/06/18;00:00:00" 54 < 
"2005/06/19;00:00:00" 113 < 
"2005/06/20;00:00:00" 134 < 
"2005/06/21;00:00:00" 293 < 
"2005/06/22;00:00:00" 323 < 
"2005/06/23;00:00:00" 116 < 
"2005/06/24;00:00:00" 160 < 
"2005/06/25;00:00:00" 3 < 
"2005/06/26;00:00:00" 25 < 
"2005/06/27;00:00:00" 20 < 
"2005/06/28;00:00:00" 31 < 
"2005/06/29;00:00:00" 63 < 
"2005/06/30;00:00:00" 226 < 
"2005/07/01;00:00:00" 260 < 
"2005/07/02;00:00:00" 178 < 
"2005/07/03;00:00:00" 205 < 
"2005/07/04;00:00:00" 178 < 
"2005/07/05;00:00:00" 220 < 
"2005/07/06;00:00:00" 186 < 
"2005/07/07;00:00:00" 230 < 
"2005/07/08;00:00:00" 32 < 
"2005/07/09;00:00:00" 23 < 
"2005/07/10;00:00:00" 11 < 
"2005/07/11;00:00:00" 360 < 
"2005/07/12;00:00:00" 1 < 
"2005/07/13;00:00:00" 351 < 
"2005/07/14;00:00:00" 21 < 
"2005/07/15;00:00:00" 263 < 
"2005/07/16;00:00:00" 320 < 
"2005/07/17;00:00:00" 293 < 
"2005/07/18;00:00:00" 241 < 
"2005/07/19;00:00:00" 254 < 
"2005/07/20;00:00:00" 246 < 
"2005/07/21;00:00:00" 264 < 
"2005/07/22;00:00:00" 273 < 
"2005/07/23;00:00:00" 260 < 
"2005/07/24;00:00:00" 187 < 
"2005/07/25;00:00:00" 214 < 
"2005/07/26;00:00:00" 308 < 
"2005/07/27;00:00:00" 103 < 
"2005/07/28;00:00:00" 166 < 
"2005/07/29;00:00:00" 226 < 
"2005/07/30;00:00:00" 222 < 
"2005/07/31;00:00:00" 228 < 
"2005/08/01;00:00:00" 278 < 
"2005/08/02;00:00:00" 314 < 
"2005/08/03;00:00:00" 250 < 
"2005/08/04;00:00:00" 272 < 
"2005/08/05;00:00:00" 221 < 
"2005/08/06;00:00:00" 268 < 
"2005/08/07;00:00:00" 277 < 
"2005/08/08;00:00:00" 283 < 
"2005/08/09;00:00:00" 274 < 
"2005/08/10;00:00:00" 275 < 
"2005/08/11;00:00:00" 286 < 
"2005/08/12;00:00:00" 323 < 
"2005/08/13;00:00:00" 213 < 
"2005/08/14;00:00:00" 262 < 
"2005/08/15;00:00:00" 338 < 
"2005/08/16;00:00:00" 340 < 
"2005/08/17;00:00:00" 76 < 
"2005/08/18;00:00:00" 104 < 
"2005/08/19;00:00:00" 150 < 
"2005/08/20;00:00:00" 216 < 
"2005/08/21;00:00:00" 352 < 
"2005/08/22;00:00:00" 344 < 
"2005/08/23;00:00:00" 324 < 
"2005/08/24;00:00:00" 196 < 
"2005/08/25;00:00:00" 205 < 
"2005/08/26;00:00:00" 230 < 
"2005/08/27;00:00:00" 209 < 
"2005/08/28;00:00:00" 217 < 
"2005/08/29;00:00:00" 215 < 
"2005/08/30;00:00:00" 72 < 
"2005/08/31;00:00:00" 109 < 
"2005/09/01;00:00:00" 214 < 
"2005/09/02;00:00:00" 341 < 
"2005/09/03;00:00:00" 66 < 
"2005/09/04;00:00:00" 91 < 
"2005/09/05;00:00:00" 114 < 
"2005/09/06;00:00:00" 182 < 
"2005/09/07;00:00:00" 256 < 
"2005/09/08;00:00:00" 204 < 
"2005/09/09;00:00:00" 45 < 
"2005/09/10;00:00:00" 27 < 
"2005/09/11;00:00:00" 45 < 
"2005/09/12;00:00:00" 7 < 
"2005/09/13;00:00:00" 216 < 
"2005/09/14;00:00:00" 230 < 
"2005/09/15;00:00:00" 274 < 
"2005/09/16;00:00:00" 354 < 
"2005/09/17;00:00:00" 319 < 
"2005/09/18;00:00:00" 256 < 
"2005/09/19;00:00:00" 105 < 
"2005/09/20;00:00:00" 245 < 
"2005/09/21;00:00:00" 101 < 
"2005/09/22;00:00:00" 119 < 
"2005/09/23;00:00:00" 170 < 
"2005/09/24;00:00:00" 257 < 
"2005/09/25;00:00:00" 182 < 
"2005/09/26;00:00:00" 208 < 
"2005/09/27;00:00:00" 205 < 
"2005/09/28;00:00:00" 236 < 
"2005/09/29;00:00:00" 242 < 
"2005/09/30;00:00:00" 193 < 
"2005/10/01;00:00:00" 231 < 
"2005/10/02;00:00:00" 275 < 
"2005/10/03;00:00:00" 32 < 
"2005/10/04;00:00:00" 43 < 
"2005/10/05;00:00:00" 67 < 
"2005/10/06;00:00:00" 70 < 
"2005/10/07;00:00:00" 103 < 
"2005/10/08;00:00:00" 181 < 
"2005/10/09;00:00:00" 197 < 
"2005/10/10;00:00:00" 131 < 
"2005/10/11;00:00:00" 124 < 
"2005/10/12;00:00:00" 135 < 
"2005/10/13;00:00:00" 118 < 
"2005/10/14;00:00:00" 43 < 
"2005/10/15;00:00:00" 66 < 
"2005/10/16;00:00:00" 82 < 
"2005/10/17;00:00:00" 100 < 
"2005/10/18;00:00:00" 98 < 
"2005/10/19;00:00:00" 133 < 
"2005/10/20;00:00:00" 197 < 
"2005/10/21;00:00:00" 179 < 
"2005/10/22;00:00:00" 207 < 
"2005/10/23;00:00:00" 241 < 
"2005/10/24;00:00:00" 200 < 
"2005/10/25;00:00:00" 213 < 
"2005/10/26;00:00:00" 223 < 
"2005/10/27;00:00:00" 136 < 
"2005/10/28;00:00:00" 155 < 
"2005/10/29;00:00:00" 167 < 
"2005/10/30;00:00:00" 154 < 
"2005/10/31;00:00:00" 163 < 
"2005/11/01;00:00:00" 207 < 
"2005/11/02;00:00:00" 173 < 
"2005/11/03;00:00:00" 193 < 
"2005/11/04;00:00:00" 204 < 
"2005/11/05;00:00:00" 206 < 
"2005/11/06;00:00:00" 192 < 
"2005/11/07;00:00:00" 195 < 
"2005/11/08;00:00:00" 153 < 
"2005/11/09;00:00:00" 214 < 
"2005/11/10;00:00:00" 209 < 
"2005/11/11;00:00:00" 204 < 
"2005/11/12;00:00:00" 195 < 
"2005/11/13;00:00:00" 298 < 
"2005/11/14;00:00:00" 211 < 
"2005/11/15;00:00:00" 224 < 
"2005/11/16;00:00:00" 264 < 
"2005/11/17;00:00:00" 263 < 
"2005/11/18;00:00:00" 311 < 
"2005/11/19;00:00:00" 212 < 
"2005/11/20;00:00:00" 243 < 
"2005/11/21;00:00:00" 19 < 
"2005/11/22;00:00:00" 51 < 
"2005/11/23;00:00:00" 204 < 
"2005/11/24;00:00:00" 199 < 
"2005/11/25;00:00:00" 211 < 
"2005/11/26;00:00:00" 170 < 
"2005/11/27;00:00:00" 63 < 
"2005/11/28;00:00:00" 205 < 
"2005/11/29;00:00:00" 218 < 
"2005/11/30;00:00:00" 206 < 
"2005/12/01;00:00:00" 162 < 
"2005/12/02;00:00:00" 129 < 
"2005/12/03;00:00:00" 148 < 
"2005/12/04;00:00:00" 168 < 
"2005/12/05;00:00:00" 216 < 
"2005/12/06;00:00:00" 203 < 
"2005/12/07;00:00:00" 225 < 
"2005/12/08;00:00:00" 11 < 
"2005/12/09;00:00:00" 54 < 
"2005/12/10;00:00:00" 179 < 
"2005/12/11;00:00:00" 208 < 
"2005/12/12;00:00:00" 326 < 
"2005/12/13;00:00:00" 280 < 
"2005/12/14;00:00:00" 279 < 
"2005/12/15;00:00:00" 271 < 
"2005/12/16;00:00:00" 288 < 
"2005/12/17;00:00:00" 288 < 
"2005/12/18;00:00:00" 243 < 
"2005/12/19;00:00:00" 227 < 
"2005/12/20;00:00:00" 241 < 
"2005/12/21;00:00:00" 218 < 
"2005/12/22;00:00:00" 248 < 
"2005/12/23;00:00:00" 235 < 
"2005/12/24;00:00:00" 264 < 
"2005/12/25;00:00:00" 301 < 
"2005/12/26;00:00:00" 335 < 
"2005/12/27;00:00:00" 55 < 
"2005/12/28;00:00:00" 24 < 
"2005/12/29;00:00:00" 245 < 
"2005/12/30;00:00:00" 173 < 
"2005/12/31;00:00:00" 205 < 
"2006/01/01;00:00:00" 207 < 
"2006/01/02;00:00:00" 342 < 
"2006/01/03;00:00:00" 177 < 
"2006/01/04;00:00:00" 65 < 
"2006/01/05;00:00:00" 68 < 
"2006/01/06;00:00:00" 74 < 
"2006/01/07;00:00:00" 95 < 
"2006/01/08;00:00:00" 79 < 
"2006/01/09;00:00:00" 100 < 
"2006/01/10;00:00:00" 196 < 
"2006/01/11;00:00:00" 207 < 
"2006/01/12;00:00:00" 168 < 
"2006/01/13;00:00:00" 144 < 
"2006/01/14;00:00:00" 150 < 
"2006/01/15;00:00:00" 162 < 
"2006/01/16;00:00:00" 159 < 
"2006/01/17;00:00:00" 206 < 
"2006/01/18;00:00:00" 285 < 
"2006/01/19;00:00:00" 187 < 
"2006/01/20;00:00:00" 225 < 
"2006/01/21;00:00:00" 290 < 
"2006/01/22;00:00:00" 66 < 
"2006/01/23;00:00:00" 107 < 
"2006/01/24;00:00:00" 121 < 
"2006/01/25;00:00:00" 337 < 
"2006/01/26;00:00:00" 45 < 
"2006/01/27;00:00:00" 60 < 
"2006/01/28;00:00:00" 53 < 
"2006/01/29;00:00:00" 49 < 
"2006/01/30;00:00:00" 26 < 
"2006/01/31;00:00:00" 33 < 
"2006/02/01;00:00:00" 111 < 
"2006/02/02;00:00:00" 258 < 
"2006/02/03;00:00:00" 222 < 
"2006/02/04;00:00:00" 39 < 
"2006/02/05;00:00:00" 141 < 
"2006/02/06;00:00:00" 226 < 
"2006/02/07;00:00:00" 247 < 
"2006/02/08;00:00:00" 259 < 
"2006/02/09;00:00:00" 286 < 
"2006/02/10;00:00:00" 328 < 
"2006/02/11;00:00:00" 200 < 
"2006/02/12;00:00:00" 199 < 
"2006/02/13;00:00:00" 153 < 
"2006/02/14;00:00:00" 172 < 
"2006/02/15;00:00:00" 195 < 
"2006/02/16;00:00:00" 199 < 
"2006/02/17;00:00:00" 200 < 
"2006/02/18;00:00:00" 193 < 
"2006/02/19;00:00:00" 75 < 
"2006/02/20;00:00:00" 42 < 
"2006/02/21;00:00:00" 48 < 
"2006/02/22;00:00:00" 67 < 
"2006/02/23;00:00:00" 55 < 
"2006/02/24;00:00:00" 66 < 
"2006/02/25;00:00:00" 60 < 
"2006/02/26;00:00:00" 20 < 
"2006/02/27;00:00:00" 249 < 
"2006/02/28;00:00:00" 234 < 
"2006/03/01;00:00:00" 233 < 
"2006/03/02;00:00:00" 224 < 
"2006/03/03;00:00:00" 227 < 
"2006/03/04;00:00:00" 225 < 
"2006/03/05;00:00:00" 246 < 
"2006/03/06;00:00:00" 272 < 
"2006/03/07;00:00:00" 264 < 
"2006/03/08;00:00:00" 138 < 
"2006/03/09;00:00:00" 65 < 
"2006/03/10;00:00:00" 221 < 
"2006/03/11;00:00:00" 20 < 
"2006/03/12;00:00:00" 28 < 
"2006/03/13;00:00:00" 103 < 
"2006/03/14;00:00:00" 104 < 
"2006/03/15;00:00:00" 60 < 
"2006/03/16;00:00:00" 57 < 
"2006/03/17;00:00:00" 59 < 
"2006/03/18;00:00:00" 58 < 
"2006/03/19;00:00:00" 336 < 
"2006/03/20;00:00:00" 353 < 
"2006/03/21;00:00:00" 14 < 
"2006/03/22;00:00:00" 9 < 
"2006/03/23;00:00:00" 102 < 
"2006/03/24;00:00:00" 126 < 
"2006/03/25;00:00:00" 218 < 
"2006/03/26;00:00:00" 228 < 
"2006/03/27;00:00:00" 206 < 
"2006/03/28;00:00:00" 223 < 
"2006/03/29;00:00:00" 240 < 
"2006/03/30;00:00:00" 212 < 
"2006/03/31;00:00:00" 241 < 
"2006/04/01;00:00:00" 217 < 
"2006/04/02;00:00:00" 217 < 
"2006/04/03;00:00:00" 260 < 
"2006/04/04;00:00:00" 281 < 
"2006/04/05;00:00:00" 299 < 
"2006/04/06;00:00:00" 229 < 
"2006/04/07;00:00:00" 220 < 
"2006/04/08;00:00:00" 215 < 
"2006/04/09;00:00:00" 250 < 
"2006/04/10;00:00:00" 349 < 
"2006/04/11;00:00:00" 217 < 
"2006/04/12;00:00:00" 246 < 
"2006/04/13;00:00:00" 231 < 
"2006/04/14;00:00:00" 269 < 
"2006/04/15;00:00:00" 108 < 
"2006/04/16;00:00:00" 273 < 
"2006/04/17;00:00:00" 253 < 
"2006/04/18;00:00:00" 246 < 
"2006/04/19;00:00:00" 211 < 
"2006/04/20;00:00:00" 211 < 
"2006/04/21;00:00:00" 360 < 
"2006/04/22;00:00:00" 309 < 
"2006/04/23;00:00:00" 287 < 
"2006/04/24;00:00:00" 92 < 
"2006/04/25;00:00:00" 258 < 
"2006/04/26;00:00:00" 270 < 
"2006/04/27;00:00:00" 355 < 
"2006/04/28;00:00:00" 320 < 
"2006/04/29;00:00:00" 323 < 
"2006/04/30;00:00:00" 201 < 
"2006/05/01;00:00:00" 170 < 
"2006/05/02;00:00:00" 181 < 
"2006/05/03;00:00:00" 139 < 
"2006/05/04;00:00:00" 102 < 
"2006/05/05;00:00:00" 105 < 
"2006/05/06;00:00:00" 108 < 
"2006/05/07;00:00:00" 104 < 
"2006/05/08;00:00:00" 92 < 
"2006/05/09;00:00:00" 66 < 
"2006/05/10;00:00:00" 71 < 
"2006/05/11;00:00:00" 71 < 
"2006/05/12;00:00:00" 312 < 
"2006/05/13;00:00:00" 271 < 
"2006/05/14;00:00:00" 360 < 
"2006/05/15;00:00:00" 138 < 
"2006/05/16;00:00:00" 260 < 
"2006/05/17;00:00:00" 191 < 
"2006/05/18;00:00:00" 227 < 
"2006/05/19;00:00:00" 217 < 
"2006/05/20;00:00:00" 202 < 
"2006/05/21;00:00:00" 216 < 
"2006/05/22;00:00:00" 199 < 
"2006/05/23;00:00:00" 238 < 
"2006/05/24;00:00:00" 218 < 
"2006/05/25;00:00:00" 236 < 
"2006/05/26;00:00:00" 228 < 
"2006/05/27;00:00:00" 239 < 
"2006/05/28;00:00:00" 273 < 
"2006/05/29;00:00:00" 282 < 
"2006/05/30;00:00:00" 295 < 
"2006/05/31;00:00:00" 307 < 
"2006/06/01;00:00:00" 313 < 
"2006/06/02;00:00:00" 334 < 
"2006/06/03;00:00:00" 312 < 
"2006/06/04;00:00:00" 326 < 
"2006/06/05;00:00:00" 325 < 
"2006/06/06;00:00:00" 347 < 
"2006/06/07;00:00:00" 333 < 
"2006/06/08;00:00:00" 351 < 
"2006/06/09;00:00:00" 52 < 
"2006/06/10;00:00:00" 101 < 
"2006/06/11;00:00:00" 127 < 
"2006/06/12;00:00:00" 132 < 
"2006/06/13;00:00:00" 178 < 
"2006/06/14;00:00:00" 5 < 
"2006/06/15;00:00:00" 275 < 
"2006/06/16;00:00:00" 282 < 
"2006/06/17;00:00:00" 298 < 
"2006/06/18;00:00:00" 156 < 
"2006/06/19;00:00:00" 240 < 
"2006/06/20;00:00:00" 229 < 
"2006/06/21;00:00:00" 220 < 
"2006/06/22;00:00:00" 227 < 
"2006/06/23;00:00:00" 234 < 
"2006/06/24;00:00:00" 121 < 
"2006/06/25;00:00:00" 25 < 
"2006/06/26;00:00:00" 220 < 
"2006/06/27;00:00:00" 270 < 
"2006/06/28;00:00:00" 35 < 
"2006/06/29;00:00:00" 53 < 
"2006/06/30;00:00:00" 78 < 
"2006/07/01;00:00:00" 73 < 
"2006/07/02;00:00:00" 105 < 
"2006/07/03;00:00:00" 99 < 
"2006/07/04;00:00:00" 113 < 
"2006/07/05;00:00:00" 213 < 
"2006/07/06;00:00:00" 291 < 
"2006/07/07;00:00:00" 241 < 
"2006/07/08;00:00:00" 244 < 
"2006/07/09;00:00:00" 202 < 
"2006/07/10;00:00:00" 228 < 
"2006/07/11;00:00:00" 307 < 
"2006/07/12;00:00:00" 32 < 
"2006/07/13;00:00:00" 355 < 
"2006/07/14;00:00:00" 11 < 
"2006/07/15;00:00:00" 57 < 
"2006/07/16;00:00:00" 83 < 
"2006/07/17;00:00:00" 91 < 
"2006/07/18;00:00:00" 39 < 
"2006/07/19;00:00:00" 92 < 
"2006/07/20;00:00:00" 250 < 
"2006/07/21;00:00:00" 292 < 
"2006/07/22;00:00:00" 60 < 
"2006/07/23;00:00:00" 268 < 
"2006/07/24;00:00:00" 2 < 
"2006/07/25;00:00:00" 48 < 
"2006/07/26;00:00:00" 40 < 
"2006/07/27;00:00:00" 313 < 
"2006/07/28;00:00:00" 334 < 
"2006/07/29;00:00:00" 255 < 
"2006/07/30;00:00:00" 218 < 
"2006/07/31;00:00:00" 214 < 
"2006/08/01;00:00:00" 203 < 
"2006/08/02;00:00:00" 224 < 
"2006/08/03;00:00:00" 255 < 
"2006/08/04;00:00:00" 360 < 
"2006/08/05;00:00:00" 336 < 
"2006/08/06;00:00:00" 331 < 
"2006/08/07;00:00:00" 325 < 
"2006/08/08;00:00:00" 312 < 
"2006/08/09;00:00:00" 233 < 
"2006/08/10;00:00:00" 238 < 
"2006/08/11;00:00:00" 246 < 
"2006/08/12;00:00:00" 203 < 
"2006/08/13;00:00:00" 42 < 
"2006/08/14;00:00:00" 228 < 
"2006/08/15;00:00:00" 246 < 
"2006/08/16;00:00:00" 142 < 
"2006/08/17;00:00:00" 128 < 
"2006/08/18;00:00:00" 189 < 
"2006/08/19;00:00:00" 195 < 
"2006/08/20;00:00:00" 215 < 
"2006/08/21;00:00:00" 239 < 
"2006/08/22;00:00:00" 271 < 
"2006/08/23;00:00:00" 213 < 
"2006/08/24;00:00:00" 144 < 
"2006/08/25;00:00:00" 230 < 
"2006/08/26;00:00:00" 273 < 
"2006/08/27;00:00:00" 243 < 
"2006/08/28;00:00:00" 238 < 
"2006/08/29;00:00:00" 243 < 
"2006/08/30;00:00:00" 260 < 
"2006/08/31;00:00:00" 209 < 
"2006/09/01;00:00:00" 205 < 
"2006/09/02;00:00:00" 208 < 
"2006/09/03;00:00:00" 229 < 
"2006/09/04;00:00:00" 261 < 
"2006/09/05;00:00:00" 213 < 
"2006/09/06;00:00:00" 213 < 
"2006/09/07;00:00:00" 300 < 
"2006/09/08;00:00:00" 330 < 
"2006/09/09;00:00:00" 73 < 
"2006/09/10;00:00:00" 96 < 
"2006/09/11;00:00:00" 131 < 
"2006/09/12;00:00:00" 150 < 
"2006/09/13;00:00:00" 154 < 
"2006/09/14;00:00:00" 101 < 
"2006/09/15;00:00:00" 67 < 
"2006/09/16;00:00:00" 73 < 
"2006/09/17;00:00:00" 301 < 
"2006/09/18;00:00:00" 256 < 
"2006/09/19;00:00:00" 217 < 
"2006/09/20;00:00:00" 191 < 
"2006/09/21;00:00:00" 136 < 
"2006/09/22;00:00:00" 151 < 
"2006/09/23;00:00:00" 71 < 
"2006/09/24;00:00:00" 157 < 
"2006/09/25;00:00:00" 212 < 
"2006/09/26;00:00:00" 224 < 
"2006/09/27;00:00:00" 202 < 
"2006/09/28;00:00:00" 190 < 
"2006/09/29;00:00:00" 174 < 
"2006/09/30;00:00:00" 194 < 
"2006/10/01;00:00:00" 191 < 
"2006/10/02;00:00:00" 210 < 
"2006/10/03;00:00:00" 212 < 
"2006/10/04;00:00:00" 225 < 
"2006/10/05;00:00:00" 206 < 
"2006/10/06;00:00:00" 206 < 
"2006/10/07;00:00:00" 240 < 
"2006/10/08;00:00:00" 199 < 
"2006/10/09;00:00:00" 178 < 
"2006/10/10;00:00:00" 81 < 
"2006/10/11;00:00:00" 101 < 
"2006/10/12;00:00:00" 258 < 
"2006/10/13;00:00:00" 20 < 
"2006/10/14;00:00:00" 74 < 
"2006/10/15;00:00:00" 76 < 
"2006/10/16;00:00:00" 106 < 
"2006/10/17;00:00:00" 143 < 
"2006/10/18;00:00:00" 175 < 
"2006/10/19;00:00:00" 158 < 
"2006/10/20;00:00:00" 182 < 
"2006/10/21;00:00:00" 202 < 
"2006/10/22;00:00:00" 189 < 
"2006/10/23;00:00:00" 198 < 
"2006/10/24;00:00:00" 221 < 
"2006/10/25;00:00:00" 143 < 
"2006/10/26;00:00:00" 202 < 
"2006/10/27;00:00:00" 241 < 
"2006/10/28;00:00:00" 217 < 
"2006/10/29;00:00:00" 282 < 
"2006/10/30;00:00:00" 208 < 
"2006/10/31;00:00:00" 235 < 
"2006/11/01;00:00:00" 308 < 
"2006/11/02;00:00:00" 284 < 
"2006/11/03;00:00:00" 211 < 
"2006/11/04;00:00:00" 247 < 
"2006/11/05;00:00:00" 254 < 
"2006/11/06;00:00:00" 238 < 
"2006/11/07;00:00:00" 222 < 
"2006/11/08;00:00:00" 220 < 
"2006/11/09;00:00:00" 274 < 
"2006/11/10;00:00:00" 193 < 
"2006/11/11;00:00:00" 234 < 
"2006/11/12;00:00:00" 269 < 
"2006/11/13;00:00:00" 230 < 
"2006/11/14;00:00:00" 223 < 
"2006/11/15;00:00:00" 196 < 
"2006/11/16;00:00:00" 185 < 
"2006/11/17;00:00:00" 188 < 
"2006/11/18;00:00:00" 198 < 
"2006/11/19;00:00:00" 180 < 
"2006/11/20;00:00:00" 189 < 
"2006/11/21;00:00:00" 210 < 
"2006/11/22;00:00:00" 196 < 
"2006/11/23;00:00:00" 192 < 
"2006/11/24;00:00:00" 177 < 
"2006/11/25;00:00:00" 192 < 
"2006/11/26;00:00:00" 190 < 
"2006/11/27;00:00:00" 167 < 
"2006/11/28;00:00:00" 175 < 
"2006/11/29;00:00:00" 220 < 
"2006/11/30;00:00:00" 174 < 
"2006/12/01;00:00:00" 187 < 
"2006/12/02;00:00:00" 199 < 
"2006/12/03;00:00:00" 195 < 
"2006/12/04;00:00:00" 212 < 
"2006/12/05;00:00:00" 210 < 
"2006/12/06;00:00:00" 212 < 
"2006/12/07;00:00:00" 196 < 
"2006/12/08;00:00:00" 190 < 
"2006/12/09;00:00:00" 224 < 
"2006/12/10;00:00:00" 199 < 
"2006/12/11;00:00:00" 206 < 
"2006/12/12;00:00:00" 214 < 
"2006/12/13;00:00:00" 222 < 
"2006/12/14;00:00:00" 215 < 
"2006/12/15;00:00:00" 210 < 
"2006/12/16;00:00:00" 221 < 
"2006/12/17;00:00:00" 223 < 
"2006/12/18;00:00:00" 202 < 
"2006/12/19;00:00:00" 261 < 
"2006/12/20;00:00:00" 225 < 
"2006/12/21;00:00:00" 332 < 
"2006/12/22;00:00:00" 72 < 
"2006/12/23;00:00:00" 75 < 
"2006/12/24;00:00:00" 57 < 
"2006/12/25;00:00:00" 78 < 
"2006/12/26;00:00:00" 126 < 
"2006/12/27;00:00:00" 220 < 
"2006/12/28;00:00:00" 221 < 
"2006/12/29;00:00:00" 178 < 
"2006/12/30;00:00:00" 200 < 
"2006/12/31;00:00:00" 223 < 
"2007/01/01;00:00:00" 240 < 
"2007/01/02;00:00:00" 243 < 
"2007/01/03;00:00:00" 213 < 
"2007/01/04;00:00:00" 237 < 
"2007/01/05;00:00:00" 228 < 
"2007/01/06;00:00:00" 223 < 
"2007/01/07;00:00:00" 210 < 
"2007/01/08;00:00:00" 206 < 
"2007/01/09;00:00:00" 225 < 
"2007/01/10;00:00:00" 223 < 
"2007/01/11;00:00:00" 231 < 
"2007/01/12;00:00:00" 242 < 
"2007/01/13;00:00:00" 227 < 
"2007/01/14;00:00:00" 243 < 
"2007/01/15;00:00:00" 205 < 
"2007/01/16;00:00:00" 204 < 
"2007/01/17;00:00:00" 213 < 
"2007/01/18;00:00:00" 248 < 
"2007/01/19;00:00:00" 255 < 
"2007/01/20;00:00:00" 232 < 
"2007/01/21;00:00:00" 232 < 
"2007/01/22;00:00:00" 290 < 
"2007/01/23;00:00:00" 25 < 
"2007/01/24;00:00:00" 34 < 
"2007/01/25;00:00:00" 36 < 
"2007/01/26;00:00:00" 232 < 
"2007/01/27;00:00:00" 275 < 
"2007/01/28;00:00:00" 259 < 
"2007/01/29;00:00:00" 291 < 
"2007/01/30;00:00:00" 260 < 
"2007/01/31;00:00:00" 251 < 
"2007/02/01;00:00:00" 261 < 
"2007/02/02;00:00:00" 272 < 
"2007/02/03;00:00:00" 294 < 
"2007/02/04;00:00:00" 268 < 
"2007/02/05;00:00:00" 250 < 
"2007/02/06;00:00:00" 232 < 
"2007/02/07;00:00:00" 188 < 
"2007/02/08;00:00:00" 132 < 
"2007/02/09;00:00:00" 259 < 
"2007/02/10;00:00:00" 89 < 
"2007/02/11;00:00:00" 174 < 
"2007/02/12;00:00:00" 187 < 
"2007/02/13;00:00:00" 258 < 
"2007/02/14;00:00:00" 136 < 
"2007/02/15;00:00:00" 257 < 
"2007/02/16;00:00:00" 119 < 
"2007/02/17;00:00:00" 137 < 
"2007/02/18;00:00:00" 316 < 
"2007/02/19;00:00:00" 135 < 
"2007/02/20;00:00:00" 153 < 
"2007/02/21;00:00:00" 204 < 
"2007/02/22;00:00:00" 182 < 
"2007/02/23;00:00:00" 156 < 
"2007/02/24;00:00:00" 180 < 
"2007/02/25;00:00:00" 208 < 
"2007/02/26;00:00:00" 276 < 
"2007/02/27;00:00:00" 232 < 
"2007/02/28;00:00:00" 228 < 
"2007/03/01;00:00:00" 238 < 
"2007/03/02;00:00:00" 260 < 
"2007/03/03;00:00:00" 23 < 
"2007/03/04;00:00:00" 153 < 
"2007/03/05;00:00:00" 206 < 
"2007/03/06;00:00:00" 188 < 
"2007/03/07;00:00:00" 205 < 
"2007/03/08;00:00:00" 266 < 
"2007/03/09;00:00:00" 225 < 
"2007/03/10;00:00:00" 236 < 
"2007/03/11;00:00:00" 209 < 
"2007/03/12;00:00:00" 181 < 
"2007/03/13;00:00:00" 351 < 
"2007/03/14;00:00:00" 289 < 
